city,link,pages
Amsterdam Restaurants,https://www.tripadvisor.com/Restaurants-g188590-Amsterdam_North_Holland_Province.html,"
130
"
The Hague Restaurants,https://www.tripadvisor.com/Restaurants-g188633-The_Hague_South_Holland_Province.html,"
46
"
Rotterdam Restaurants,https://www.tripadvisor.com/Restaurants-g188632-Rotterdam_South_Holland_Province.html,"
42
"
Utrecht Restaurants,https://www.tripadvisor.com/Restaurants-g188616-Utrecht.html,"
23
"
Eindhoven Restaurants,https://www.tripadvisor.com/Restaurants-g188582-Eindhoven_North_Brabant_Province.html,"
24
"
Maastricht Restaurants,https://www.tripadvisor.com/Restaurants-g188575-Maastricht_Limburg_Province.html,"
14
"
Groningen Restaurants,https://www.tripadvisor.com/Restaurants-g188572-Groningen.html,"
13
"
Breda Restaurants,https://www.tripadvisor.com/Restaurants-g188580-Breda_North_Brabant_Province.html,"
11
"
Haarlem Restaurants,https://www.tripadvisor.com/Restaurants-g188593-Haarlem_North_Holland_Province.html,"
11
"
Nijmegen Restaurants,https://www.tripadvisor.com/Restaurants-g188569-Nijmegen_Gelderland_Province.html,"
11
"
Arnhem Restaurants,https://www.tripadvisor.com/Restaurants-g188568-Arnhem_Gelderland_Province.html,"
11
"
Leiden Restaurants,https://www.tripadvisor.com/Restaurants-g188630-Leiden_South_Holland_Province.html,"
10
"
Den Bosch Restaurants,https://www.tripadvisor.com/Restaurants-g188581-Den_Bosch_North_Brabant_Province.html,"
10
"
Tilburg Restaurants,https://www.tripadvisor.com/Restaurants-g188586-Tilburg_North_Brabant_Province.html,"
9
"
Amersfoort Restaurants,https://www.tripadvisor.com/Restaurants-g188613-Amersfoort.html,"
9
"
Delft Restaurants,https://www.tripadvisor.com/Restaurants-g188626-Delft_South_Holland_Province.html,"
8
"
Enschede Restaurants,https://www.tripadvisor.com/Restaurants-g188605-Enschede_Overijssel_Province.html,"
8
"
Zwolle Restaurants,https://www.tripadvisor.com/Restaurants-g188611-Zwolle_Overijssel_Province.html,"
8
"
Alkmaar Restaurants,https://www.tripadvisor.com/Restaurants-g188589-Alkmaar_North_Holland_Province.html,"
7
"
Almere Restaurants,https://www.tripadvisor.com/Restaurants-g806327-Almere_Flevoland_Province.html,"
7
"
Leeuwarden Restaurants,https://www.tripadvisor.com/Restaurants-g188563-Leeuwarden_Friesland_Province.html,"
6
"
Apeldoorn Restaurants,https://www.tripadvisor.com/Restaurants-g188567-Apeldoorn_Gelderland_Province.html,"
6
"
Hilversum Restaurants,https://www.tripadvisor.com/Restaurants-g188594-Hilversum_North_Holland_Province.html,"
6
"
Dordrecht Restaurants,https://www.tripadvisor.com/Restaurants-g188627-Dordrecht_South_Holland_Province.html,"
9
"
Deventer Restaurants,https://www.tripadvisor.com/Restaurants-g188604-Deventer_Overijssel_Province.html,"
5
"
Venlo Restaurants,https://www.tripadvisor.com/Restaurants-g188578-Venlo_Limburg_Province.html,"
5
"
Roermond Restaurants,https://www.tripadvisor.com/Restaurants-g188576-Roermond_Limburg_Province.html,"
5
"
Amstelveen Restaurants,https://www.tripadvisor.com/Restaurants-g1024752-Amstelveen_North_Holland_Province.html,"
85
"
Texel Restaurants,https://www.tripadvisor.com/Restaurants-g652305-Texel_North_Holland_Province.html,"
5
"
Valkenburg Restaurants,https://www.tripadvisor.com/Restaurants-g227912-Valkenburg_Limburg_Province.html,"
5
"
Hoofddorp Restaurants,https://www.tripadvisor.com/Restaurants-g227906-Hoofddorp_Haarlemmermeer_North_Holland_Province.html,"
5
"
Emmen Municipality Restaurants,https://www.tripadvisor.com/Restaurants-g14773511-Emmen_Municipality_Drenthe_Province.html,"
5
"
Gouda Restaurants,https://www.tripadvisor.com/Restaurants-g188628-Gouda_South_Holland_Province.html,"
5
"
Heerlen Restaurants,https://www.tripadvisor.com/Restaurants-g188574-Heerlen_Limburg_Province.html,"
12
"
Roosendaal Restaurants,https://www.tripadvisor.com/Restaurants-g580393-Roosendaal_North_Brabant_Province.html,"
7
"
Noordwijk Restaurants,https://www.tripadvisor.com/Restaurants-g227899-Noordwijk_South_Holland_Province.html,"
4
"
Middelburg Restaurants,https://www.tripadvisor.com/Restaurants-g188618-Middelburg_Zeeland_Province.html,"
4
"
Rijswijk Restaurants,https://www.tripadvisor.com/Restaurants-g1600502-Rijswijk_South_Holland_Province.html,"
51
"
Zoetermeer Restaurants,https://www.tripadvisor.com/Restaurants-g227913-Zoetermeer_South_Holland_Province.html,"
4
"
Zandvoort Restaurants,https://www.tripadvisor.com/Restaurants-g188601-Zandvoort_North_Holland_Province.html,"
10
"
